"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 22, 2020","10,987.43","11,101.63","11,101.63","10,987.07","181.24M","-1.03%"
"Oct 25, 2020","10,602.98","10,987.43","10,987.43","10,414.66","113.94M","-3.50%"
"Oct 26, 2020","10,511.94","10,602.98","10,649.05","10,500.54","90.99M","-0.86%"
"Oct 27, 2020","10,559.71","10,511.94","10,559.98","10,511.79","158.49M","0.45%"
"Oct 28, 2020","10,515.25","10,559.71","10,581.33","10,496.13","155.64M","-0.42%"
"Nov 01, 2020","10,456.33","10,515.25","10,515.25","10,456.33","131.34M","-0.56%"
"Nov 02, 2020","10,429.34","10,456.33","10,511.48","10,426.92","181.86M","-0.26%"
"Nov 03, 2020","10,512.16","10,429.34","10,512.16","10,426.93","114.15M","0.79%"
"Nov 04, 2020","10,556.89","10,512.16","10,562.75","10,512.16","75.91M","0.43%"
"Nov 05, 2020","10,629.29","10,556.89","10,637.82","10,513.58","89.51M","0.69%"
"Nov 08, 2020","10,680.27","10,629.29","10,680.27","10,613.13","50.47M","0.48%"
"Nov 09, 2020","10,838.66","10,680.27","10,838.66","10,680.27","188.23M","1.48%"
